time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
-298,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-238,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-178,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-118,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-58,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
62,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
122,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
182,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
242,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
302,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
362,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
422,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
482,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
542,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
602,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
662,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
722,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
782,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
842,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
902,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
962,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1022,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1082,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
